video;action
videos/0102_Mug_cond2.mp4;BEBER
videos/0202_Pen_cond2.mp4;ESCREVER
videos/0302_Knife_cond2.mp4;CORTAR
videos/0402_Spoon_cond2.mp4;COMER A SOPA
videos/0502_Racket_cond2.mp4;JOGAR TÉNIS
videos/0602_Hammer_cond2.mp4;MARTELAR
videos/0702_Hat_cond2.mp4;PÔR O CHAPÉU
videos/0802_Spining_cond2.mp4;GIRAR O PEÃO
videos/0902_Tweezers_cond2.mp4;ARRANCAR A SOBRANCELHA
videos/1002_Dumbbell_cond2.mp4;LEVANTAR PESO
videos/1102_Mixer_cond2.mp4;BATER/MISTURAR
videos/1202_Hairbrush_cond2.mp4;ESCOVAR O CABELO
videos/1302_Hairspray_cond2.mp4;BORRIFAR O CABELO
videos/1402_Perfume_cond2.mp4;PERFUMAR
videos/1502_Toothbrush_cond2.mp4;LAVAR OS DENTES
videos/1602_Sunglasses_cond2.mp4;PÔR OS ÓCULOS
videos/1702_Lighter_cond2.mp4;ACENDER O ISQUEIRO
videos/1802_Headphones_cond2.mp4;PÔR OS AUSCULTADORES
