video;action
videos/0102_Mug_cond2.mp4;beber
videos/0202_Pen_cond2.mp4;escrever
videos/0302_Knife_cond2.mp4;cortar
videos/0402_Spoon_cond2.mp4;comer a sopa
videos/0502_Racket_cond2.mp4;jogar ténis
videos/0602_Hammer_cond2.mp4;martelar
videos/0702_Hat_cond2.mp4;pôr o chapéu
videos/0802_Spining_cond2.mp4;jogar o pião
videos/0902_Tweezers_cond2.mp4;depilar a sobrencelha
videos/1002_Dumbbell_cond2.mp4;levantar peso
videos/1102_Mixer_cond2.mp4;bater as natas
videos/1202_Hairbrush_cond2.mp4;escovar o cabelo
videos/1302_Hairspray_cond2.mp4;borrifar o cabelo
videos/1402_Perfume_cond2.mp4;perfumar 
videos/1502_Toothbrush_cond2.mp4;lavar os dentes
videos/1602_Sunglasses_cond2.mp4;pôr os óculos
videos/1702_Lighter_cond2.mp4;acender o isqueiro
videos/1802_Headphones_cond2.mp4;ouvir música
